compactness,kernelLength,kernelWidth,asymmetryCoefficient,grooveLength,variety
0.871,5.763,3.312,2.221,5.22,Kama
0.8811,5.554,3.333,1.018,4.956,Kama
0.905,5.291,3.337,2.699,4.825,Kama
0.8955,5.324,3.379,2.259,4.805,Kama
0.9034,5.658,3.562,1.355,5.175,Kama
0.8951,5.386,3.312,2.462,4.956,Kama
0.8799,5.563,3.259,3.586,5.219,Kama
0.8747,6.053,3.465,2.04,5.877,Kama
0.888,5.884,3.505,1.969,5.533,Kama
0.8696,5.714,3.242,4.543,5.314,Kama
0.8796,5.438,3.201,1.717,5.001,Kama
0.888,5.439,3.199,3.986,4.738,Kama
0.8759,5.479,3.156,3.136,4.872,Kama
0.8744,5.482,3.114,2.932,4.825,Kama
0.8993,5.351,3.333,4.185,4.781,Kama
0.9183,5.119,3.383,5.234,4.781,Kama
0.9058,5.527,3.514,1.599,5.046,Kama
0.9153,5.205,3.466,1.767,4.649,Kama
0.8686,5.226,3.049,4.102,4.914,Kama
0.8584,5.658,3.129,3.072,5.176,Kama
0.8673,6.191,3.561,4.076,6.06,Rosa
0.8623,5.998,3.484,4.675,5.877,Rosa
0.8763,5.978,3.594,4.539,5.791,Rosa
0.9081,6.154,3.93,2.936,6.079,Rosa
0.8786,6.017,3.486,4.004,5.841,Rosa
0.8638,5.927,3.438,4.92,5.795,Rosa
0.8599,6.064,3.403,3.824,5.922,Rosa
0.8763,6.579,3.814,4.451,6.451,Rosa
0.875,6.445,3.639,5.064,6.362,Rosa
0.8892,5.85,3.566,2.858,5.746,Rosa
0.8823,5.875,3.467,5.532,5.88,Rosa
0.8977,6.006,3.857,5.324,5.879,Rosa
0.8894,6.285,3.864,5.173,6.187,Rosa
0.8779,6.384,3.772,1.472,6.273,Rosa
0.878,6.366,3.801,2.962,6.185,Rosa
0.887,6.173,3.651,2.443,6.197,Rosa
0.8969,6.084,3.764,1.649,6.109,Rosa
0.859,6.549,3.67,3.691,6.498,Rosa
0.8989,6.573,4.033,5.78,6.231,Rosa
0.9031,6.45,4.032,5.016,6.321,Rosa
0.848,5.472,2.994,5.304,5.395,Canadian
0.8613,5.541,3.073,7.035,5.44,Canadian
0.862,5.389,3.074,5.995,5.307,Canadian
0.8652,5.224,2.967,5.469,5.221,Canadian
0.8274,5.314,2.777,4.471,5.178,Canadian
0.8167,5.279,2.687,6.169,5.275,Canadian
0.8335,5.176,2.719,2.221,5.132,Canadian
0.8658,5.267,2.967,4.421,5.002,Canadian
0.8491,5.386,2.911,3.26,5.316,Canadian
0.8107,5.317,2.648,5.462,5.194,Canadian
0.8496,5.263,2.84,5.195,5.307,Canadian
0.8249,5.405,2.776,6.992,5.27,Canadian
0.8333,5.408,2.833,4.756,5.36,Canadian
0.8266,5.22,2.693,3.332,5.001,Canadian
0.8382,5.175,2.755,4.048,5.263,Canadian
0.8253,5.25,2.675,5.813,5.219,Canadian
0.8596,5.053,2.849,3.347,5.003,Canadian
0.8081,5.394,2.745,4.825,5.22,Canadian
0.8082,5.444,2.678,4.378,5.31,Canadian
0.8263,5.304,2.695,5.388,5.31,Canadian
